departement;nb_adresses;cad_exist;exist_ban_nb;exist_ban_pct;cad_ajoute;cad_manquant;cad_fallback;pct_matched;nb_parcelles_src;nb_parts;source_cadastre;ban_version;cadastre_version;temps_sec;temps_load_sec;temps_process_sec;debut;conf_1.0_nb;conf_1.0_pct;conf_0.9_nb;conf_0.9_pct;conf_0.75_nb;conf_0.75_pct;conf_0.5_nb;conf_0.5_pct;conf_0.25_nb;conf_0.25_pct;conf_0.0_nb;conf_0.0_pct
32;115204;65822;65822;57.14;49293;89;24007;99.92;862364;1;geojson→parquet;2026-03-24;2023-01-01;96.99;82.57;8.0;2026-03-24 11:29:51;25311;21.97;22973;19.94;1009;0.88;0;0.0;0;0.0;89;0.08
33;735710;287300;287300;39.05;447211;1199;144076;99.84;1956585;4;geojson→parquet;2026-03-24;2023-01-01;263.57;182.38;63.3;2026-03-24 11:30:05;305164;41.48;136337;18.53;5710;0.78;0;0.0;0;0.0;1199;0.16
34;455597;248511;248511;54.55;206330;756;70304;99.83;1316765;3;geojson→parquet;2026-03-24;2023-01-01;205.35;140.13;39.39;2026-03-24 11:30:30;136148;29.88;66826;14.67;3356;0.74;0;0.0;0;0.0;756;0.17
35;436648;247284;247284;56.63;189062;302;37605;99.93;1305152;3;geojson→parquet;2026-03-24;2023-01-01;188.77;119.7;55.4;2026-03-24 11:30:30;151525;34.7;35564;8.14;1973;0.45;0;0.0;0;0.0;302;0.07
36;139817;79825;79825;57.09;59860;132;26142;99.91;731235;1;geojson→parquet;2026-03-24;2023-01-01;75.71;58.45;8.53;2026-03-24 11:30:34;33738;24.13;25013;17.89;1109;0.79;0;0.0;0;0.0;132;0.09
37;276248;63881;63881;23.12;211923;444;62890;99.84;908902;2;geojson→parquet;2026-03-24;2023-01-01;115.79;71.89;37.57;2026-03-24 11:31:29;149213;54.01;60171;21.78;2539;0.92;0;0.0;0;0.0;444;0.16
38;428641;215947;215947;50.38;212099;595;49753;99.86;1676433;3;geojson→parquet;2026-03-24;2023-01-01;199.14;154.99;30.48;2026-03-24 11:31:50;162470;37.9;46211;10.78;3418;0.8;0;0.0;0;0.0;595;0.14
39;129923;66020;66020;50.81;63799;104;26047;99.92;636959;1;geojson→parquet;2026-03-24;2023-01-01;85.79;64.8;13.45;2026-03-24 11:31:56;37786;29.08;25131;19.34;882;0.68;0;0.0;0;0.0;104;0.08
40;250675;104729;104729;41.78;145275;671;65407;99.73;964679;2;geojson→parquet;2026-03-24;2023-01-01;115.56;91.11;17.87;2026-03-24 11:32:21;79943;31.89;61258;24.44;4074;1.63;0;0.0;0;0.0;671;0.27
41;188169;65487;65487;34.8;122451;231;52382;99.88;789473;1;geojson→parquet;2026-03-24;2023-01-01;80.4;63.25;11.81;2026-03-24 11:33:23;70152;37.28;50405;26.79;1894;1.01;0;0.0;0;0.0;231;0.12
42;272030;119494;119494;43.93;152182;354;41325;99.87;1071901;2;geojson→parquet;2026-03-24;2023-01-01;113.54;88.57;17.18;2026-03-24 11:33:26;111669;41.05;38460;14.14;2053;0.75;0;0.0;0;0.0;354;0.13
43;145618;92780;92780;63.71;52657;181;14090;99.88;1232823;1;geojson→parquet;2026-03-24;2023-01-01;115.96;100.68;7.82;2026-03-24 11:33:40;38589;26.5;12867;8.84;1201;0.82;0;0.0;0;0.0;181;0.12
44;580238;365533;365533;63.0;214526;179;83352;99.97;1551594;3;geojson→parquet;2026-03-24;2023-01-01;177.83;131.3;36.04;2026-03-24 11:33:57;136469;23.52;77546;13.36;511;0.09;0;0.0;0;0.0;179;0.03
45;287682;61955;61955;21.54;225366;361;70182;99.87;844603;2;geojson→parquet;2026-03-24;2023-01-01;84.86;61.44;18.12;2026-03-24 11:34:18;155417;54.02;67352;23.41;2597;0.9;0;0.0;0;0.0;361;0.13
46;127100;84200;84200;66.25;42786;114;14053;99.91;1103556;1;geojson→parquet;2026-03-24;2023-01-01;113.95;88.28;9.65;2026-03-24 11:34:30;28776;22.64;13223;10.4;787;0.62;0;0.0;0;0.0;114;0.09
47;204376;42379;42379;20.74;161646;351;57949;99.83;856089;2;geojson→parquet;2026-03-24;2023-01-01;81.45;62.91;13.63;2026-03-24 11:34:44;103801;50.79;54913;26.87;2932;1.43;0;0.0;0;0.0;351;0.17
48;61189;39796;39796;65.04;21342;51;5929;99.92;593228;1;geojson→parquet;2026-03-24;2023-01-01;53.66;46.06;3.95;2026-03-24 11:35:11;15417;25.2;5635;9.21;290;0.47;0;0.0;0;0.0;51;0.08
49;352591;260456;260456;73.87;91953;182;12994;99.95;1211478;2;geojson→parquet;2026-03-24;2023-01-01;131.53;104.38;18.86;2026-03-24 11:35:20;78976;22.4;12549;3.56;428;0.12;0;0.0;0;0.0;182;0.05
50;302609;149935;149935;49.55;152273;401;54985;99.87;1028024;2;geojson→parquet;2026-03-24;2023-01-01;121.59;97.32;15.64;2026-03-24 11:35:37;97402;32.19;52195;17.25;2676;0.88;0;0.0;0;0.0;401;0.13
51;216388;38047;38047;17.58;177844;497;81044;99.77;1002504;2;geojson→parquet;2026-03-24;2023-01-01;99.58;75.13;17.14;2026-03-24 11:35:43;96894;44.78;77668;35.89;3282;1.52;0;0.0;0;0.0;497;0.23
52;97631;18659;18659;19.11;75359;3613;38269;96.3;492780;1;geojson→parquet;2026-03-24;2023-01-01;24.94;16.85;3.14;2026-03-24 11:39:31;37339;38.25;34775;35.62;3245;3.32;0;0.0;0;0.0;3613;3.7
53;161461;104020;104020;64.42;57333;108;17659;99.93;608124;1;geojson→parquet;2026-03-24;2023-01-01;38.75;25.52;3.47;2026-03-24 11:39:56;39693;24.58;16515;10.23;1125;0.7;0;0.0;0;0.0;108;0.07
54;266178;85809;85809;32.24;179714;655;102857;99.75;921368;2;geojson→parquet;2026-03-24;2023-01-01;43.77;27.49;8.48;2026-03-24 11:40:35;77120;28.97;99054;37.21;3540;1.33;0;0.0;0;0.0;655;0.25
55;100097;23472;23472;23.45;75643;982;41760;99.02;538730;1;geojson→parquet;2026-03-24;2023-01-01;33.87;19.83;3.31;2026-03-24 11:41:19;33935;33.9;36206;36.17;5502;5.5;0;0.0;0;0.0;982;0.98
56;432153;269100;269100;62.27;162770;283;42505;99.93;1154127;3;geojson→parquet;2026-03-24;2023-01-01;65.43;44.37;10.68;2026-03-24 11:41:53;120377;27.86;41021;9.49;1372;0.32;0;0.0;0;0.0;283;0.07
57;383617;55426;55426;14.45;327794;397;98937;99.9;1555978;2;geojson→parquet;2026-03-24;2023-01-01;151.1;116.33;17.25;2026-03-24 11:42:59;228937;59.68;95139;24.8;3718;0.97;0;0.0;0;0.0;397;0.1
58;143479;77376;77376;53.93;65952;151;28568;99.89;679309;1;geojson→parquet;2026-03-24;2023-01-01;31.89;22.1;3.44;2026-03-24 11:45:31;37433;26.09;27371;19.08;1148;0.8;0;0.0;0;0.0;151;0.11
59;1011441;495371;495371;48.98;514705;1365;314740;99.87;1857514;6;geojson→parquet;2026-03-24;2023-01-01;122.14;61.7;43.04;2026-03-24 11:46:03;200650;19.84;303977;30.05;10078;1.0;0;0.0;0;0.0;1365;0.13
60;314970;122808;122808;38.99;191392;770;104845;99.76;987487;2;geojson→parquet;2026-03-24;2023-01-01;64.12;43.16;12.47;2026-03-24 11:48:06;86691;27.52;100863;32.02;3838;1.22;0;0.0;0;0.0;770;0.24
