id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;id_ban_adresse;id_ban_toponyme;id_ban_commune;status
21012_0095_00015;21012_0095;15;;Route de Montbard;21400;21012;Ampilly-le-Sec;;;814475.75;6746612.71;4.529558;47.80993;entrée;;;AMPILLY LE SEC;ROUTE DE MONTBARD;commune;commune;1;210120000E0365;194d447f-4ad8-4bd3-9eac-4fb07a1181cb;3b60ac22-90f0-44d5-b3a5-8bc3d3b41134;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0170_00007;21012_0170;7;;Rue de la Vacherie;21400;21012;Ampilly-le-Sec;;;814444.62;6746353.06;4.529075;47.807599;entrée;;;AMPILLY LE SEC;RUE DE LA VACHERIE;commune;commune;1;210120000E0207|210120000E0300;1a330f04-d2d5-48f5-9c74-f1c81278bd1c;8a7ce569-d883-4dd9-bcb1-ecf5b8255ec4;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;exist
21012_0030_00013;21012_0030;13;;Rue de Chamesson;21400;21012;Ampilly-le-Sec;;;814737.73;6746090.36;4.532922;47.805184;entrée;;;AMPILLY LE SEC;RUE DE CHAMESSON;commune;commune;1;21012000ZH0059;1b531777-ac7b-4cb5-809b-36379c743459;04822e31-ad74-4eba-aa54-2ebd7554c7b3;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0095_00009;21012_0095;9;;Route de Montbard;21400;21012;Ampilly-le-Sec;;;814540.65;6746752.32;4.530461;47.811175;entrée;;;AMPILLY LE SEC;ROUTE DE MONTBARD;commune;commune;1;;1c20c318-5912-445a-bbaf-8759bac6f504;3b60ac22-90f0-44d5-b3a5-8bc3d3b41134;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;missing
21012_0150_00012;21012_0150;12;;Grande Rue;21400;21012;Ampilly-le-Sec;;;814673.59;6746729.23;4.532231;47.810944;entrée;;;AMPILLY LE SEC;GRANDE RUE;commune;commune;1;;1cd50581-ed76-49c3-bbee-8efc141efaed;df4ca75e-7d08-4db5-85e6-ef090b3c2fbf;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;missing
21012_nqqc6d_00006;;6;;Rue du Champeau;21400;21012;Ampilly-le-Sec;;;814730.91;6747332;4.533153;47.816358;entrée;;;AMPILLY LE SEC;RUE DU CHAMPEAU;commune;commune;1;;1f7793b4-6139-46d3-a33d-ccc19372a516;f7b7085e-667f-454f-9c28-37eedf6b0bbd;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;missing
21012_0030_00009;21012_0030;9;;Rue de Chamesson;21400;21012;Ampilly-le-Sec;;;814698.44;6746285.97;4.532448;47.806951;entrée;;;AMPILLY LE SEC;RUE DE CHAMESSON;commune;commune;1;210120000E0144;21bfa2ae-7a2a-45de-8130-22764aaefa08;04822e31-ad74-4eba-aa54-2ebd7554c7b3;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0095_00007;21012_0095;7;;Route de Montbard;21400;21012;Ampilly-le-Sec;;;814573.02;6746823.96;4.530912;47.811814;entrée;;;AMPILLY LE SEC;ROUTE DE MONTBARD;commune;commune;1;;255a297b-dae8-4b93-b3cd-69e34de203a6;3b60ac22-90f0-44d5-b3a5-8bc3d3b41134;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;missing
21012_nqqc6d_00010;;10;;Rue du Champeau;21400;21012;Ampilly-le-Sec;;;814714.05;6747348.23;4.532932;47.816507;entrée;;;AMPILLY LE SEC;RUE DU CHAMPEAU;commune;commune;1;;2625b2a2-7efc-4ac9-a231-000dce0a141b;f7b7085e-667f-454f-9c28-37eedf6b0bbd;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;missing
21012_nqqc6d_00008;;8;;Rue du Champeau;21400;21012;Ampilly-le-Sec;;;814732.82;6747341.82;4.533181;47.816446;entrée;;;AMPILLY LE SEC;RUE DU CHAMPEAU;commune;commune;1;210120000C0253;279eaca1-180d-4c05-ab9e-d7bf54b52efe;f7b7085e-667f-454f-9c28-37eedf6b0bbd;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0150_00033;21012_0150;33;;Grande Rue;21400;21012;Ampilly-le-Sec;;;814631.86;6746800.87;4.531692;47.811596;entrée;;;AMPILLY LE SEC;GRANDE RUE;commune;commune;1;210120000E0293;289035f6-6779-44b8-9f41-afe98f5ca668;df4ca75e-7d08-4db5-85e6-ef090b3c2fbf;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
