id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;id_ban_adresse;id_ban_toponyme;id_ban_commune;status;distance_m;confiance;cad_prefixe;cad_section;cad_numero
83007_0477_00477;83007_0477;477;;Rue de la Piscine;83630;83007;Aups;;;960347.02;6286184.67;6.225754;43.626843;entrée;;;AUPS;RUE DE LA PISCINE;commune;commune;0;830070000I0782;e8ca4e20-307b-4783-a510-a945fff6881a;497fcacc-5192-49bc-8a86-cbf9a705a98d;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0I;0782
83007_0571_00784;83007_0571;784;;Route de Salernes;83630;83007;Aups;;;960000.93;6285470.67;6.22111;43.620551;entrée;;;AUPS;ROUTE DE SALERNES;commune;commune;0;830070000F0710;e8e612fd-1512-4f2a-aa95-ec717c781440;844685b3-38f6-49df-a607-2ad65781a525;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0F;0710
83007_8nfqog_00120;;120;;Avenue Charles Boyer;83630;83007;Aups;;;960527.66;6286183.27;6.227989;43.626764;segment;;;AUPS;AVENUE CHARLES BOYER;commune;commune;0;830070000I1107;e963839d-4b57-471e-838f-337d6f651c6c;858d21c3-2afb-4787-a3f4-db6cfb646c07;223a7636-4cee-4367-9145-af7ceab2b45f;nearest;6.66;0.75;000;0I;1107
83007_bi8el1_00100;;100;;Avenue Beausoleil;83630;83007;Aups;;;959945.19;6285856.48;6.220615;43.62404;entrée;;;AUPS;AVENUE BEAUSOLEIL;commune;commune;0;830070000F0656;e9922e52-424d-4be0-8a44-1dc6e56fcc6f;f2012185-de3a-403e-8911-8045b55a9bb2;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0F;0656
83007_0020_00010_a;83007_0020;10;a;Avenue Albert 1er;83630;83007;Aups;;;960210.93;6286509.69;6.224234;43.629815;entrée;;;AUPS;AVENUE ALBERT 1ER;commune;commune;0;830070000I1078;e999a279-b99c-419e-b914-a6ad4fd7774a;53ac0a46-12eb-4240-ad40-8d428b1b0308;223a7636-4cee-4367-9145-af7ceab2b45f;nearest;0.32;0.9;000;0I;1078
83007_0251_00471;83007_0251;471;;Chemin de la Grave;83630;83007;Aups;;;960117.43;6287105.51;6.223378;43.635206;entrée;;;AUPS;CHEMIN DE LA GRAVE;commune;commune;0;830070000A0275;e9c64c23-b194-410c-ba9d-7e13beecf8a3;9567e456-0078-4049-bcc4-eb5312982d3b;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0A;0275
83007_0340_00019;83007_0340;19;;Rue du Marechal Foch;83630;83007;Aups;;;960186.27;6286383.55;6.223865;43.62869;entrée;;;AUPS;RUE DU MARECHAL FOCH;commune;commune;0;830070000I0976;e9d5bff4-82a7-439f-aae8-a103cebbd2ac;d0616afa-fec9-4c0d-9a8e-0a4018add17d;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0I;0976
83007_0590_00181;83007_0590;181;;Route de Tourtour;83630;83007;Aups;;;960630.35;6285873.47;6.229103;43.623941;entrée;;;AUPS;ROUTE DE TOURTOUR;commune;commune;0;830070000C0570;e9ef89a3-16c4-4d41-9582-6517315acbfa;ecc20df4-ef2e-4b93-a566-e8d6eb1fe82f;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0C;0570
83007_0065_00579;83007_0065;579;;Chemin du Cade;83630;83007;Aups;;;959218.89;6286554.55;6.211978;43.630582;segment;;;AUPS;CHEMIN DU CADE;commune;commune;0;830070000G1181;e9f05b50-2539-4a0f-930a-a74fd143f06b;738a478b-b210-4714-84d8-bdb7a3e177ed;223a7636-4cee-4367-9145-af7ceab2b45f;nearest;1.29;0.9;000;0G;1181
83007_thd2ox_00056;;56;;Impasse du Paradou;83630;83007;Aups;;;960050.24;6286883.31;6.222434;43.633233;entrée;;;AUPS;IMPASSE DU PARADOU;commune;commune;0;830070000A0629;ea04aaab-52a7-42b2-b8c3-3c9fb558d732;8bf27625-a757-4746-a068-ec612d2af1c1;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0A;0629
83007_0155_00267;83007_0155;267;;Route de Fox Amphoux;83630;83007;Aups;;;959825.82;6286051.27;6.219236;43.625835;segment;;;AUPS;ROUTE DE FOX AMPHOUX;commune;commune;0;830070000F0702;ea73f29b-0f60-4552-8bc9-057a6e5ec083;d0a031c6-3691-4232-b110-bd3fe9b1288c;223a7636-4cee-4367-9145-af7ceab2b45f;nearest;3.33;0.9;000;0F;0702
83007_oqoj3x_00357;;357;;Valmouissine;83630;83007;Aups;;;958332.71;6287569.44;6.201519;43.64003;parcelle;;;AUPS;VALMOUISSINE;commune;commune;0;830070000H0375;ea7ad1b1-9bbe-43da-a793-98318b107bf4;c616425d-4567-4e91-8534-33b0a65a3a90;223a7636-4cee-4367-9145-af7ceab2b45f;exist;;;000;0H;0375
83007_0050_00015;83007_0050;15;;Avenue Beau Soleil;83630;83007;Aups;;;960065.2;6286069.83;6.222208;43.625914;parcelle;;;AUPS;AVENUE BEAU SOLEIL;commune;commune;0;830070000F0743;ea7b9f50-dd84-4220-a1b6-3c43c6f184b2;330232bc-458c-4577-84bf-1a2569bd12dc;223a7636-4cee-4367-9145-af7ceab2b45f;exist;;;000;0F;0743
83007_kkmeqo_00337;;337;;Quartier Saint Lazare;83630;83007;Aups;;;958709.74;6287238.6;6.20602;43.636918;segment;;;AUPS;QUARTIER SAINT LAZARE;commune;commune;0;830070000G1302;ea85f81a-b150-4011-ba12-74f6c8a7a115;50ea7e3c-4f49-499e-86a3-6179d760433f;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0G;1302
83007_0585_00388;83007_0585;388;;Chemin de Taurenne;83630;83007;Aups;;;961199.81;6285478.45;6.23595;43.62018;entrée;;;AUPS;CHEMIN DE TAURENNE;commune;commune;0;830070000C0423;ea9c1c34-bc4f-46f0-b115-c9d6682b253c;ae9e24db-7cba-40f0-9603-d63f25dd5a90;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0C;0423
83007_0079_00030;83007_0079;30;;Chemin des Devenseaux;83630;83007;Aups;;;960281.59;6286557.85;6.225133;43.630222;segment;;;AUPS;CHEMIN DES DEVENSEAUX;commune;commune;0;830070000I0906;eabeef35-1dae-437e-af0e-d3134396a94a;d6092cce-5033-421f-8305-85c757e8ae64;223a7636-4cee-4367-9145-af7ceab2b45f;nearest;0.09;0.9;000;0I;0906
83007_0040_00002;83007_0040;2;;Rue des Barrins;83630;83007;Aups;;;960263;6286310.93;6.224778;43.628009;entrée;;;AUPS;RUE DES BARRINS;commune;commune;0;830070000I0357;eabeeff2-f0ce-47ea-a2ab-ace6be961221;4d40e42a-17b5-4cc6-99d3-1b26401c56d2;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0I;0357
83007_0120_00005;83007_0120;5;;Rue de l'Eperon;83630;83007;Aups;;;960312.48;6286375.47;6.225423;43.628571;segment;;;AUPS;RUE DE L EPERON;commune;commune;0;830070000I0284;ead2ac11-dd49-44c1-87fa-9b263e985cdf;d7ad265c-077c-4836-8590-7a634114bf7f;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0I;0284
83007_a005_01129;83007_A005;1129;;Clos des Espiguieres;83630;83007;Aups;;;959954.14;6285052.98;6.22032;43.616813;entrée;;;AUPS;CLOS DES ESPIGUIERES;commune;commune;0;830070000D0695;eb2b2039-657c-4272-a06f-0ca5cbf8d527;1cec3dab-95db-4eca-bc84-9332954f489d;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0D;0695
83007_0020_00242;83007_0020;242;;Avenue Albert 1er;83630;83007;Aups;;;959964.44;6286578.49;6.221218;43.630524;entrée;;;AUPS;AVENUE ALBERT 1ER;commune;commune;0;830070000I0003;eb47aac8-0627-4d1c-9cbe-8116e3921491;53ac0a46-12eb-4240-ad40-8d428b1b0308;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0I;0003
83007_0065_00389;83007_0065;389;;Chemin du Cade;83630;83007;Aups;;;959454.21;6286571.25;6.214899;43.630646;entrée;;;AUPS;CHEMIN DU CADE;commune;commune;0;830070000G0667;eb74abfb-8f20-4959-8c63-d1bd81351a8a;738a478b-b210-4714-84d8-bdb7a3e177ed;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0G;0667
83007_0135_00167;83007_0135;167;;Chemin des Escadenieres;83630;83007;Aups;;;959874.68;6287340.75;6.220492;43.63741;segment;;;AUPS;CHEMIN DES ESCADENIERES;commune;commune;0;830070000H1139;eb86c3aa-9eba-41fa-b593-2f6964064fa0;17757bc8-79ac-4086-8c70-cf82545a27cc;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0H;1139
83007_0220_00788;83007_0220;788;;avenue georges clémenceau;83630;83007;Aups;;;959962.61;6285532.51;6.220667;43.621121;entrée;;;AUPS;AVENUE GEORGES CLEMENCEAU;commune;commune;0;830070000F0319;ebae6f8a-d51f-443e-a990-254e1dfb19f5;6c184508-9109-485a-8df9-704b35d2a991;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0F;0319
83007_0155_03569;83007_0155;3569;;Route de Fox Amphoux;83630;83007;Aups;;;956669.18;6285245.35;6.179766;43.61974;segment;;;AUPS;ROUTE DE FOX AMPHOUX;commune;commune;0;830070000G0901;ebd785cd-04d1-4d2b-b88f-8eeece14cbf8;d0a031c6-3691-4232-b110-bd3fe9b1288c;223a7636-4cee-4367-9145-af7ceab2b45f;nearest;3.75;0.9;000;0G;0901
83007_0280_00039;83007_0280;39;;Rue Jules Philibert;83630;83007;Aups;;;960288.99;6286359.05;6.225124;43.628432;entrée;;;AUPS;RUE JULES PHILIBERT;commune;commune;0;830070000I0290;ebe78ce6-d32f-4e24-b10b-a585517d3976;76de06e1-11f0-4340-862b-135fff6d95d0;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0I;0290
83007_0120_00040;83007_0120;40;;Rue de l'Eperon;83630;83007;Aups;;;960315.87;6286365.71;6.22546;43.628482;segment;;;AUPS;RUE DE L EPERON;commune;commune;0;830070000I0285;ebed06ec-3f6e-4d37-b73e-41987baae90f;d7ad265c-077c-4836-8590-7a634114bf7f;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0I;0285
83007_0140_00002;83007_0140;2;;Traverse Esparron;83630;83007;Aups;;;960213.33;6286387.66;6.224202;43.628717;segment;;;AUPS;TRAVERSE ESPARRON;commune;commune;0;830070000I0147;ec412561-2ea5-4290-8980-f872cf830776;7d2c0164-9d80-4e58-9503-b5cf46f52987;223a7636-4cee-4367-9145-af7ceab2b45f;nearest;1.41;0.9;000;0I;0147
83007_0574_00177;83007_0574;177;;Chemin du Stade;83630;83007;Aups;;;960172.93;6285527.19;6.223267;43.620996;entrée;;;AUPS;CHEMIN DU STADE;commune;commune;0;830070000C0711;ec4aae0b-3020-4303-800b-a35b809d0d30;f589cb0f-93be-4bc7-90c5-16817a9a4697;223a7636-4cee-4367-9145-af7ceab2b45f;nearest;3.0;0.9;000;0C;0711
83007_0058_00036;83007_0058;36;;Chemin de Bormes;83630;83007;Aups;;;960948.28;6285893.82;6.233048;43.624007;segment;;;AUPS;CHEMIN DE BORMES;commune;commune;0;830070000B0434;ec4e94c8-16fa-453f-9963-53687b5b5b64;532c2f3f-abe6-484b-8f57-a79cd99610bb;223a7636-4cee-4367-9145-af7ceab2b45f;nearest;1.66;0.9;000;0B;0434
83007_0419_00072;83007_0419;72;;Allee Jean Moulin;83630;83007;Aups;;;960391.44;6286491.48;6.226459;43.629585;segment;;;AUPS;ALLEE JEAN MOULIN;commune;commune;0;830070000B0422;eca3820c-5712-4e25-997d-32a2903f17e1;24227d45-6133-40b7-bcf0-a238cd485503;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0B;0422
83007_0560_00023;83007_0560;23;;Rue Rosette Ciofi;83630;83007;Aups;;;960212.11;6286407.52;6.224197;43.628896;entrée;;;AUPS;RUE ROSETTE CIOFI;commune;commune;0;830070000I0152;ecc739bf-f7a1-4bf6-9a1e-9cfaa47a3734;6098649a-f5e4-4e9b-8b62-dd1429adfd54;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0I;0152
83007_0095_00021;83007_0095;21;;Avenue Edouard le Bellegou;83630;83007;Aups;;;960356.8;6286388.07;6.225978;43.628668;segment;;;AUPS;AVENUE EDOUARD LE BELLEGOU;commune;commune;0;830070000I0503;ece04bb9-3502-403d-b2ca-a4e1f679fd9e;667d74a3-7878-4e89-9f07-04c46c127111;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0I;0503
83007_0255_00003;83007_0255;3;;Rue du Haut de la Place;83630;83007;Aups;;;960298.63;6286376.35;6.225252;43.628584;segment;;;AUPS;RUE DU HAUT DE LA PLACE;commune;commune;0;830070000I0283;ecff261e-13fe-453f-b81d-6e524ebdf263;8a89841b-c0a2-4ccb-a4a3-01a1f2e18005;223a7636-4cee-4367-9145-af7ceab2b45f;nearest;1.01;0.9;000;0I;0283
83007_8nfqog_00135;;135;;Avenue Charles Boyer;83630;83007;Aups;;;960532.6;6286190.93;6.228054;43.626831;segment;;;AUPS;AVENUE CHARLES BOYER;commune;commune;0;830070000I1107;ed02872e-600c-4933-a774-4f7df9dcf006;858d21c3-2afb-4787-a3f4-db6cfb646c07;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0I;1107
83007_0380_00004;83007_0380;4;;Rue Martin Biagini;83630;83007;Aups;;;960305.78;6286351.61;6.225328;43.628359;segment;;;AUPS;RUE MARTIN BIAGINI;commune;commune;0;830070000I0286;ed662eaa-25f1-41fb-8f0f-75dfb7166672;6c087d3a-9198-4f61-af03-fdc1a8c0999d;223a7636-4cee-4367-9145-af7ceab2b45f;nearest;0.34;0.9;000;0I;0286
83007_0410_01493;83007_0410;1493;;Route de Moissac;83630;83007;Aups;;;958517.79;6287356.27;6.203703;43.638046;segment;;;AUPS;ROUTE DE MOISSAC;commune;commune;0;830070000G1294;edba3180-44f8-41d1-90d7-907b8581b9d4;0b4138a3-4540-41ed-9520-6a3769ac741b;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0G;1294
83007_0280_00023;83007_0280;23;;Rue Jules Philibert;83630;83007;Aups;;;960323.82;6286297.74;6.225524;43.627868;segment;;;AUPS;RUE JULES PHILIBERT;commune;commune;0;830070000I0423;edbb7d0b-3ce8-4ee0-a741-f263798e1748;76de06e1-11f0-4340-862b-135fff6d95d0;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0I;0423
83007_0592_00433;83007_0592;433;;Chemin du Val de l’Aven;83630;83007;Aups;;;959600.34;6286304.25;6.216573;43.628192;segment;;;AUPS;CHEMIN DU VAL DE L AVEN;commune;commune;0;830070000G1401;edde1d88-84ad-4806-909e-b43558d2b0aa;2bd9657c-1fb7-49a7-b70d-4c90a85d8abe;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0G;1401
83007_0593_00187;83007_0593;187;;Route de Verignon;83630;83007;Aups;;;959861.7;6286855.04;6.220086;43.633048;entrée;;;AUPS;ROUTE DE VERIGNON;commune;commune;0;830070000H0761;edf9de32-3b6b-43e1-9dc2-6a725a0871d6;46321927-1492-499e-ba2a-bf2eae05f51d;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0H;0761
83007_0593_00037;83007_0593;37;;Route de Verignon;83630;83007;Aups;;;959894.3;6287247.9;6.220688;43.636568;entrée;;;AUPS;ROUTE DE VERIGNON;commune;commune;0;830070000H1138;ee0c8e52-fdb7-42d9-bca7-7ae9ed33d262;46321927-1492-499e-ba2a-bf2eae05f51d;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0H;1138
83007_0065_00484;83007_0065;484;;Chemin du Cade;83630;83007;Aups;;;959240.44;6286588.91;6.212262;43.630883;parcelle;;;AUPS;CHEMIN DU CADE;commune;commune;0;830070000G1485;ee1c4d22-ec83-438b-9eea-b361b5432504;738a478b-b210-4714-84d8-bdb7a3e177ed;223a7636-4cee-4367-9145-af7ceab2b45f;exist;;;000;0G;1485
83007_0525_00218;83007_0525;218;;Chemin Rural de Ratton;83630;83007;Aups;;;959879.53;6285679.5;6.219713;43.622473;segment;;;AUPS;CHEMIN RURAL DE RATTON;commune;commune;0;830070000F0424;ee517b28-2ddf-4ef3-82aa-44bafb4a54e3;32eda695-6413-42cf-bf0b-eeaea923c71f;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0F;0424
